TestDate,County,New_Positives,Cumulative_Positives,Tests_Performed,Cumulative_Tests_Performed
11/28/2020,Albany,94,5712,2465,255203
11/28/2020,Allegany,22,1019,397,40392
11/28/2020,Bronx,399,63548,9829,1274413
11/28/2020,Broome,74,5308,2116,223807
11/28/2020,Cattaraugus,39,1114,581,60259
11/28/2020,Cayuga,23,869,444,69083
11/28/2020,Chautauqua,23,1562,516,106077
11/28/2020,Chemung,55,3048,917,93117
11/28/2020,Chenango,10,639,314,44991
11/28/2020,Clinton,3,459,459,62887
11/28/2020,Columbia,8,1020,414,53803
11/28/2020,Cortland,19,1044,338,60174
11/28/2020,Delaware,13,359,353,36732
11/28/2020,Dutchess,75,7197,2021,284498
11/28/2020,Erie,502,24942,6627,763091
11/28/2020,Essex,6,285,255,29632
11/28/2020,Franklin,7,266,479,38024
11/28/2020,Fulton,5,495,286,38266
11/28/2020,Genesee,31,997,367,51396
11/28/2020,Greene,3,688,128,33194
11/28/2020,Hamilton,1,45,53,3850
11/28/2020,Herkimer,27,691,450,59561
11/28/2020,Jefferson,40,551,847,58332
11/28/2020,Kings,502,88481,17394,2336971
11/28/2020,Lewis,9,360,268,18521
11/28/2020,Livingston,17,700,369,55112
11/28/2020,Madison,31,944,496,62278
11/28/2020,Monroe,435,15138,5727,711462
11/28/2020,Montgomery,12,484,288,41782
11/28/2020,Nassau,481,60181,14082,1421146
11/28/2020,New York,428,45030,15602,1984514
11/28/2020,Niagara,86,3768,1177,164893
11/28/2020,Oneida,129,4861,2217,299282
11/28/2020,Onondaga,221,10701,3150,493848
11/28/2020,Ontario,31,1304,618,90800
11/28/2020,Orange,151,16801,2652,295600
11/28/2020,Orleans,5,623,387,26302
11/28/2020,Oswego,75,1571,885,92560
11/28/2020,Otsego,7,618,257,49280
11/28/2020,Putnam,58,2789,802,81627
11/28/2020,Queens,634,89681,18133,2018288
11/28/2020,Rensselaer,34,1720,1094,149536
11/28/2020,Richmond,331,22735,6471,512893
11/28/2020,Rockland,124,21502,2651,332777
11/28/2020,Saratoga,65,2245,1514,184248
11/28/2020,Schenectady,54,2443,1351,151218
11/28/2020,Schoharie,2,196,71,21193
11/28/2020,Schuyler,8,314,94,17772
11/28/2020,Seneca,12,295,301,25895
11/28/2020,St. Lawrence,17,822,1084,117344
11/28/2020,Steuben,32,1771,447,77044
11/28/2020,Suffolk,604,60414,12348,1432053
11/28/2020,Sullivan,25,2191,442,49374
11/28/2020,Tioga,28,1132,491,41632
11/28/2020,Tompkins,29,1105,1291,701640
11/28/2020,Ulster,49,3325,918,158689
11/28/2020,Warren,2,577,498,50766
11/28/2020,Washington,5,449,250,45790
11/28/2020,Wayne,32,1127,541,75123
11/28/2020,Westchester,464,50110,9875,1093946
11/28/2020,Wyoming,6,533,270,32252
11/28/2020,Yates,9,262,158,16291
