County,Biden(DEM),Trump(REP),Trump(CON),Biden(WOR),Hawkins(GRE),JoJo(LBT),Pierce(IND) ,Blank_Votes,Void_Votes,Total_Votes,Total_Pop,White,African_American,Native_American,Asian,Hawaiian/Pacific_Islander,Other,Two_or_more_races,Total_Labor,With_Residence,Work_in_PoR,Worked_outside_PoR,No_Residence,Total_Pop_Census,Below_Poverty
Albany,91260,46066,5015,8214,779,1523,595,487,654,154593,306968,231246,38035,494,20192,129,4085,12787,157933,77968,32218,45750,79965,291149,34570
Allegany,5754,13123,1012,294,88,338,92,109,70,20880,46688,44565,700,107,548,15,216,537,19545,8541,3683,4858,11004,41742,7047
Bronx,337789,62178,5562,17585,1420,775,406,5706,810,432231,1435068,315533,504814,10116,52989,1385,494363,55868,582554,582554,523684,58870,0,1400341,392172
Broome,43974,40762,3038,3036,432,1104,372,366,334,93418,193188,165108,10918,348,8389,75,2058,6292,84232,41175,12572,28603,43057,183481,31945
Cattaraugus,11310,20291,1864,569,113,450,154,164,94,35009,77121,70859,1116,2485,610,0,470,1581,32891,16092,6504,9588,16799,74679,12324
Cayuga,15410,17576,1936,739,185,399,162,258,81,36746,77425,71056,3303,106,441,5,604,1910,35549,16284,7381,8903,19265,72846,8812
Chautauqua,21933,31135,3718,1154,203,756,272,369,206,59746,128496,118515,3338,410,723,82,2843,2585,54703,31842,11932,19910,22861,123076,22398
Chemung,15969,20373,1549,667,117,560,162,254,47,39698,84895,74766,5324,250,1135,12,610,2798,36723,25973,6430,19543,10750,80273,11136
Chenango,7900,12602,880,390,107,316,80,71,64,22410,47909,46037,467,172,218,10,202,803,21140,6515,2315,4200,14625,47050,6368
Clinton,17316,15313,1201,1048,121,279,153,97,103,35631,80583,73237,3447,221,1133,15,1407,1123,34916,15316,6314,9002,19600,72677,10902
Columbia,18179,13065,1399,2207,185,357,115,142,117,35766,60371,53725,2741,34,1084,0,1129,1658,28927,9520,2411,7109,19407,58561,6777
Cortland,9791,10001,788,578,113,295,96,172,42,21876,47865,45302,928,107,364,7,236,921,22493,13261,4885,8376,9232,44338,7272
Delaware,8567,12655,732,576,81,268,79,49,54,23061,44995,42629,802,44,349,2,337,832,19552,6317,2639,3678,13235,42647,7071
Dutchess,75907,59952,6920,5536,578,1247,513,610,534,151797,293754,229746,30970,934,10413,155,11222,10314,142352,51845,9748,42097,90507,277234,25065
Erie,252478,172331,25196,14696,1986,4439,1895,1587,2179,476787,919355,715409,123742,4634,32793,289,20349,22139,441864,289557,92352,197205,152307,893029,126806
Essex,9327,8394,582,620,73,173,90,134,65,19458,37459,34788,1194,93,103,7,506,768,16919,7059,3117,3942,9860,34792,3435
Franklin,8767,9092,576,486,77,173,93,94,58,19416,50477,41726,2863,3609,280,111,1057,831,18859,7320,3517,3803,11539,44890,7981
Fulton,7551,14145,1233,380,73,248,87,308,46,24071,53646,50640,1119,209,417,7,444,810,24040,11941,3914,8027,12099,52435,7814
Genesee,9107,16868,2008,518,109,456,138,136,78,29418,57808,53142,1214,490,455,0,971,1536,28903,11782,3790,7992,17121,56919,6189
Greene,9363,12794,1477,983,121,305,91,99,84,25317,47424,42486,2758,304,497,3,481,895,19999,5819,1464,4355,14180,44075,6167
Hamilton,1131,2056,169,47,7,41,8,27,2,3488,4515,4394,36,5,3,2,13,62,1767,529,306,223,1238,4479,443
Herkimer,9462,17571,1299,475,98,298,111,167,74,29555,62057,59365,836,135,373,98,272,978,28042,12718,3516,9202,15324,60914,8307
Jefferson,16679,24019,1610,628,186,537,189,152,122,44122,112842,97448,6932,564,1983,249,1325,4341,51958,32251,15308,16943,19707,106273,14897
Kings,608794,187307,15465,94516,3978,2504,682,4371,2319,919936,2589974,1132426,833683,8604,307081,1232,225162,81786,1197935,1197935,1152049,45886,0,2564539,511631
Lewis,3677,8333,561,147,46,126,47,53,39,13029,26572,25725,185,76,141,24,171,250,11754,3128,1045,2083,8626,26270,3540
Livingston,11704,16195,1987,773,128,460,140,164,91,31642,63591,58916,1813,146,830,30,791,1065,28667,15410,3949,11461,13257,57472,7572
Madison,14020,16810,1598,787,185,476,153,148,80,34257,71205,67360,1268,339,638,79,309,1212,33349,13974,4089,9885,19375,66057,6459
Monroe,213606,127191,18470,12140,1529,4865,1785,2228,1407,383221,743341,564617,113808,3040,27115,290,12865,21606,358706,175705,60935,114770,183001,718498,103406
Montgomery,7636,11570,1175,341,87,242,79,64,48,21242,49302,42970,1091,73,362,0,3419,1387,21234,12100,3825,8275,9134,48265,9544
Nassau,380907,305144,21572,15597,1924,3594,1901,4916,2470,738025,1356509,922873,158857,3912,130971,402,98388,41106,675702,675344,80276,595068,358,1336958,74291
New York,540748,79032,6153,62292,2694,3329,656,3592,2550,701046,1631993,922033,240993,6178,198833,888,188400,74668,887191,887191,833622,53569,0,1584693,250913
Niagara,43717,49287,6781,2312,371,1133,479,457,286,104823,210820,183860,14806,2074,2337,62,1683,5998,98856,55956,17315,38641,42900,207027,27857
Oneida,39271,52615,4565,2296,388,1184,396,715,235,101665,229959,196219,13771,542,9304,70,3263,6790,100151,53204,21645,31559,46947,217905,33715
Onondaga,132630,79983,10636,6264,1820,2554,848,900,51,235686,462872,368328,52912,2568,17041,162,4990,16871,218911,103139,40176,62963,115772,443667,62610
Ontario,27646,25906,3133,1379,277,987,318,314,97,60057,109511,101371,2769,388,1501,36,1582,1864,54024,18642,5355,13287,35382,106104,9193
Orange,80504,73008,11988,4180,524,1388,507,732,377,173208,380085,281683,41779,1482,10280,298,31086,13477,176767,105295,22358,82937,71472,370342,43142
Orleans,5326,10972,1154,261,50,313,71,123,37,18307,40904,36345,2383,136,250,0,797,993,17502,6083,1990,4093,11419,38089,5226
Oswego,20015,29321,2817,1128,284,697,207,205,156,54830,118339,113114,1352,178,884,32,601,2178,53051,20474,6889,13585,32577,113014,19213
Otsego,12307,13448,934,668,136,409,96,143,70,28211,59972,56036,1303,92,814,6,430,1291,27257,11375,5186,6189,15882,54849,8154
Putnam,23233,26465,2818,1720,162,411,155,198,131,55293,98787,85846,3030,203,2039,23,5590,2056,49793,16482,1742,14740,33311,97312,4847
Queens,523152,197599,15066,45886,2969,2483,705,4517,1719,794096,2287388,875191,418429,10326,583459,1078,316141,82764,1101747,1101747,984736,117011,0,2259939,276447
Rensselaer,37558,32143,4357,3411,374,1016,386,553,123,79921,159185,137002,10268,228,4282,13,1675,5717,79756,39247,9437,29810,40509,153415,17963
Richmond,85197,114608,8712,5800,662,909,265,1132,489,217774,474893,352034,48958,1026,44246,219,17548,10862,211171,211171,194599,16572,0,468810,54621
Rockland,71656,64510,8676,4146,323,650,334,523,489,151307,324422,229240,39845,524,19099,27,26993,8694,144319,137401,21944,115457,6918,320132,44404
St. Lawrence,64454,55382,5923,4017,511,1737,580,505,396,133505,108913,101115,2654,831,1100,60,1094,2059,42818,19431,9188,10243,23387,96981,17328
Saratoga,39930,26737,4004,2535,352,923,345,237,282,75345,228502,211792,3992,508,6697,41,1195,4277,119605,30673,8582,22091,88932,224972,13148
Schenectady,4998,9021,882,347,75,282,77,85,40,15807,154859,118130,15590,359,7228,84,6079,7389,71932,48367,13422,34945,23565,150847,17271
Schoharie,3622,5192,429,281,51,130,33,24,35,9797,31222,29791,496,48,281,9,170,427,13883,3732,1298,2434,10151,29842,3612
Schuyler,6548,7602,727,366,73,193,92,75,35,15711,17920,17289,182,14,126,0,42,267,8130,1840,522,1318,6290,17648,2717
Seneca,18477,22637,1971,884,201,437,172,360,107,45246,34390,31355,1744,143,285,8,312,543,14992,6144,1336,4808,8848,31431,3825
Steuben,15009,27388,2086,781,164,570,167,217,120,46502,96422,91286,1623,103,1480,3,462,1465,42052,19856,6147,13709,22196,94727,12971
Suffolk,351643,340940,34881,16357,2066,4458,2476,2921,2135,757877,1483832,1196719,116018,4212,58204,418,74432,33829,739441,739163,90648,648515,278,1456653,100133
Sullivan,14424,16992,1673,1065,123,247,112,391,94,35121,75116,59949,5990,196,1265,0,4283,3433,32218,8590,2474,6116,23628,72592,10999
Tioga,9131,13870,921,503,92,416,97,60,74,25170,48686,46870,327,107,374,5,256,747,22388,5413,1357,4056,16975,48253,4899
Tompkins,28979,10240,856,4640,365,474,137,162,151,46004,102642,82359,3859,224,9964,57,1666,4513,49101,26372,11640,14732,22729,89120,16838
Ulster,50497,33891,3699,7473,618,879,344,360,380,98141,178665,151001,10780,395,3396,102,5515,7476,85533,42106,11044,31062,43427,170910,23571
Warren,16606,16271,1428,1036,204,424,162,137,108,36376,64276,61452,828,174,641,36,188,957,31330,18705,4539,14166,12625,63306,5997
Washington,10882,14544,1397,683,128,340,119,99,56,28248,61616,57686,1969,196,371,7,518,869,28433,9564,1528,8036,18869,58233,6578
Wayne,16603,23065,3139,853,184,656,214,202,102,45018,90519,84123,2543,148,725,105,960,1915,43773,14262,3023,11239,29511,89283,10371
Westchester,296129,133397,11316,16242,1280,2569,1145,202,102,462078,968890,622855,144053,3594,58140,251,110029,29968,471725,390072,85937,304135,81653,945745,83603
Wyoming,4801,12552,1346,272,63,267,93,45,39,19478,40305,36882,1669,203,167,0,569,815,18005,7317,1984,5333,10688,37552,3933
Yates,4014,5611,597,205,40,165,59,55,32,10778,25011,24122,254,51,163,6,111,304,11252,3787,1850,1937,7465,23828,2837
